xy,z,val
36.1605 -27.7042,18.3001,4.60176e-05
36.1605 -27.7042,18.2402,4.79415e-06
36.1605 -27.7042,18.1803,1.12593e-05
36.1605 -27.7042,18.1204,7.43257e-06
36.1605 -27.7042,18.0606,9.49724e-07
36.1605 -27.7042,18.0007,2.37498e-08
36.1605 -27.7042,17.9408,-1.27334e-06
36.1605 -27.7042,17.8809,2.62299e-06
36.1605 -27.7042,17.8211,-4.30899e-06
36.1605 -27.7042,17.7612,-5.45258e-06
36.1605 -27.7042,17.7013,-9.42695e-06
36.1605 -27.7042,17.6414,-6.36815e-06
36.1605 -27.7042,17.5816,0.000110459
36.1605 -27.7042,17.5217,0.000353706
36.1605 -27.7042,17.4618,0.000246214
36.1605 -27.7042,17.4019,9.70462e-05
36.1605 -27.7042,17.342,0.00012471
36.1605 -27.7042,17.2822,3.42821e-05
36.1605 -27.7042,17.2223,9.68915e-06
36.1605 -27.7042,17.1624,0.000359359
36.1605 -27.7042,17.1025,0.000357779
36.1605 -27.7042,17.0427,5.29712e-06
36.1605 -27.7042,16.9828,-5.27742e-06
36.1605 -27.7042,16.9229,-4.36027e-06
36.1605 -27.7042,16.863,5.72564e-06
36.1605 -27.7042,16.8032,3.68167e-07
36.1605 -27.7042,16.7433,1.01695e-06
36.1605 -27.7042,16.6834,8.97853e-06
36.1605 -27.7042,16.6235,0.000578403
36.1605 -27.7042,16.5637,0.000987131
36.1605 -27.7042,16.5038,0.000539012
36.1605 -27.7042,16.4439,0.000276123
36.1605 -27.7042,16.384,0.000178949
36.1605 -27.7042,16.3242,5.74426e-05
36.1605 -27.7042,16.2643,3.63648e-05
36.1605 -27.7042,16.2044,0.000283924
36.1605 -27.7042,16.1445,0.000439701
36.1605 -27.7042,16.0846,0.000292701
36.1605 -27.7042,16.0248,0.000325178
36.1605 -27.7042,15.9649,0.000565661
36.1605 -27.7042,15.905,0.000622782
36.1605 -27.7042,15.8451,0.000256973
36.1605 -27.7042,15.7853,1.12737e-05
36.1605 -27.7042,15.7254,8.76358e-06
36.1605 -27.7042,15.6655,0.000227986
36.1605 -27.7042,15.6056,0.000411216
36.1605 -27.7042,15.5458,0.000299946
36.1605 -27.7042,15.4859,0.000363566
36.1605 -27.7042,15.426,0.000265148
36.1605 -27.7042,15.3661,7.06072e-05
36.1605 -27.7042,15.3063,6.11919e-05
36.1605 -27.7042,15.2464,0.000900606
36.1605 -27.7042,15.1865,0.00143566
36.1605 -27.7042,15.1266,0.000760449
36.1605 -27.7042,15.0667,0.000344764
36.1605 -27.7042,15.0069,0.000161813
36.1605 -27.7042,14.947,0.000466357
36.1605 -27.7042,14.8871,0.00055317
36.1605 -27.7042,14.8272,0.000504242
36.1605 -27.7042,14.7674,0.000399101
36.1605 -27.7042,14.7075,0.000295966
36.1605 -27.7042,14.6476,0.000284877
36.1605 -27.7042,14.5877,1.86104e-05
36.1605 -27.7042,14.5279,2.40151e-05
36.1605 -27.7042,14.468,1.22668e-05
36.1605 -27.7042,14.4081,5.76174e-05
36.1605 -27.7042,14.3482,7.50397e-05
36.1605 -27.7042,14.2884,0.000208974
36.1605 -27.7042,14.2285,0.000203823
36.1605 -27.7042,14.1686,1.5384e-05
36.1605 -27.7042,14.1087,6.15628e-05
36.1605 -27.7042,14.0489,0.000307612
36.1605 -27.7042,13.989,0.000254012
36.1605 -27.7042,13.9291,7.93705e-05
36.1605 -27.7042,13.8692,0.000216074
