xy,z,val
25.5473 -57.2607,39.4963,2.66908e-06
25.5473 -57.2607,39.1969,4.49042e-05
25.5473 -57.2607,38.8975,9.44994e-06
25.5473 -57.2607,38.5981,3.70347e-06
25.5473 -57.2607,38.2988,-7.90717e-08
25.5473 -57.2607,37.9994,-3.58487e-06
25.5473 -57.2607,37.7,9.69167e-06
25.5473 -57.2607,37.4006,-4.02754e-07
25.5473 -57.2607,37.1012,-3.38309e-06
25.5473 -57.2607,36.8019,1.82681e-05
25.5473 -57.2607,36.5025,3.60633e-05
25.5473 -57.2607,36.2031,9.7988e-06
25.5473 -57.2607,35.9037,-3.04374e-07
25.5473 -57.2607,35.6043,-2.3748e-06
25.5473 -57.2607,35.3049,2.09458e-05
25.5473 -57.2607,35.0056,5.27773e-05
25.5473 -57.2607,34.7062,6.88828e-06
25.5473 -57.2607,34.4068,1.72344e-05
25.5473 -57.2607,34.1074,3.00201e-05
25.5473 -57.2607,33.808,6.76512e-06
25.5473 -57.2607,33.5087,9.12134e-06
25.5473 -57.2607,33.2093,2.60108e-05
25.5473 -57.2607,32.9099,3.42687e-05
25.5473 -57.2607,32.6105,5.19944e-06
25.5473 -57.2607,32.3111,2.35951e-05
25.5473 -57.2607,32.0117,1.20772e-05
25.5473 -57.2607,31.7124,1.36057e-05
25.5473 -57.2607,31.413,1.94982e-05
25.5473 -57.2607,31.1136,2.54918e-06
25.5473 -57.2607,30.8142,-3.16876e-06
25.5473 -57.2607,30.5148,4.9248e-05
25.5473 -57.2607,30.2155,2.09847e-06
25.5473 -57.2607,29.976,5.556e-05
25.5473 -57.2607,29.7963,1.60597e-05
25.5473 -57.2607,29.6167,-2.41065e-06
25.5473 -57.2607,29.4371,-2.64839e-06
25.5473 -57.2607,29.2574,-5.04261e-06
25.5473 -57.2607,29.0778,-4.26683e-06
25.5473 -57.2607,28.8982,0.000214824
25.5473 -57.2607,28.7185,0.000114907
25.5473 -57.2607,28.5389,2.47859e-05
25.5473 -57.2607,28.3593,1.5112e-05
25.5473 -57.2607,28.1797,1.30307e-06
25.5473 -57.2607,28.0,2.05956e-06
25.5473 -57.2607,27.8204,5.35683e-05
25.5473 -57.2607,27.6408,1.22597e-05
25.5473 -57.2607,27.4611,0.000102084
25.5473 -57.2607,27.2815,0.000115121
25.5473 -57.2607,27.1019,0.000178912
25.5473 -57.2607,26.9223,5.72835e-05
25.5473 -57.2607,26.7426,1.53607e-05
25.5473 -57.2607,26.563,1.8905e-05
25.5473 -57.2607,26.3834,8.4687e-06
