xy,z,val
49.7956 32.3333,39.4963,-2.13862e-06
49.7956 32.3333,39.1969,-2.45584e-07
49.7956 32.3333,38.8975,3.30131e-05
49.7956 32.3333,38.5981,4.20336e-05
49.7956 32.3333,38.2988,1.85348e-05
49.7956 32.3333,37.9994,8.82594e-06
49.7956 32.3333,37.7,3.86097e-06
49.7956 32.3333,37.4006,7.80654e-06
49.7956 32.3333,37.1012,4.20958e-06
49.7956 32.3333,36.8019,4.01458e-07
49.7956 32.3333,36.5025,3.7574e-06
49.7956 32.3333,36.2031,8.31819e-06
49.7956 32.3333,35.9037,-3.91665e-07
49.7956 32.3333,35.6043,1.90362e-06
49.7956 32.3333,35.3049,-1.11635e-08
49.7956 32.3333,35.0056,2.39635e-05
49.7956 32.3333,34.7062,1.65544e-05
49.7956 32.3333,34.4068,5.6427e-06
49.7956 32.3333,34.1074,4.20429e-06
49.7956 32.3333,33.808,-1.34362e-06
49.7956 32.3333,33.5087,-1.03982e-06
49.7956 32.3333,33.2093,7.99257e-06
49.7956 32.3333,32.9099,8.86875e-07
49.7956 32.3333,32.6105,3.30215e-05
49.7956 32.3333,32.3111,1.17362e-05
49.7956 32.3333,32.0117,2.28949e-06
49.7956 32.3333,31.7124,2.64338e-05
49.7956 32.3333,31.413,1.89882e-06
49.7956 32.3333,31.1136,7.51302e-06
49.7956 32.3333,30.8142,3.15323e-05
49.7956 32.3333,30.5148,1.77753e-05
49.7956 32.3333,30.2155,9.15826e-06
49.7956 32.3333,29.976,-4.44723e-06
49.7956 32.3333,29.7963,-7.35337e-06
49.7956 32.3333,29.6167,-5.28445e-06
49.7956 32.3333,29.4371,-3.89305e-06
49.7956 32.3333,29.2574,-4.45952e-06
49.7956 32.3333,29.0778,3.62252e-07
49.7956 32.3333,28.8982,5.65158e-06
49.7956 32.3333,28.7185,-1.58561e-06
49.7956 32.3333,28.5389,0.000115421
49.7956 32.3333,28.3593,8.08991e-05
49.7956 32.3333,28.1797,1.65601e-05
49.7956 32.3333,28.0,5.20267e-05
49.7956 32.3333,27.8204,1.34709e-05
49.7956 32.3333,27.6408,9.49583e-05
49.7956 32.3333,27.4611,1.48261e-05
49.7956 32.3333,27.2815,5.57023e-06
49.7956 32.3333,27.1019,4.70833e-06
49.7956 32.3333,26.9223,2.06571e-05
49.7956 32.3333,26.7426,2.36703e-06
49.7956 32.3333,26.563,-6.96716e-07
49.7956 32.3333,26.3834,9.50677e-07
49.7956 32.3333,26.2037,5.2399e-06
49.7956 32.3333,26.0241,6.78274e-06
49.7956 32.3333,25.8445,-4.6073e-07
49.7956 32.3333,25.6649,0.000117921
49.7956 32.3333,25.4852,0.000176845
49.7956 32.3333,25.3056,4.0542e-05
49.7956 32.3333,25.126,7.61859e-05
49.7956 32.3333,24.9463,4.00578e-05
49.7956 32.3333,24.7667,1.17189e-05
49.7956 32.3333,24.5871,-5.70386e-07
49.7956 32.3333,24.4075,0.00011164
49.7956 32.3333,24.2278,1.75913e-05
49.7956 32.3333,24.0482,5.22678e-05
49.7956 32.3333,23.8686,2.75096e-05
49.7956 32.3333,23.6889,4.76933e-06
49.7956 32.3333,23.5093,-8.50125e-06
49.7956 32.3333,23.3297,6.93716e-05
49.7956 32.3333,23.1501,6.90957e-05
49.7956 32.3333,22.9704,1.38662e-05
49.7956 32.3333,22.7908,-1.04896e-05
49.7956 32.3333,22.6112,7.07687e-05
49.7956 32.3333,22.4315,0.000162709
49.7956 32.3333,22.2519,0.000249732
49.7956 32.3333,22.0723,7.06055e-05
49.7956 32.3333,21.8926,9.69516e-05
49.7956 32.3333,21.713,9.11738e-05
49.7956 32.3333,21.5334,0.000198768
49.7956 32.3333,21.3538,5.70296e-05
49.7956 32.3333,21.1741,3.7567e-05
49.7956 32.3333,20.9945,6.28482e-06
49.7956 32.3333,20.8149,-2.88261e-06
49.7956 32.3333,20.6352,2.80823e-05
49.7956 32.3333,20.4556,3.2833e-05
49.7956 32.3333,20.276,1.30398e-05
49.7956 32.3333,20.1562,0.000331125
49.7956 32.3333,20.0964,0.000359954
49.7956 32.3333,20.0365,3.43632e-05
49.7956 32.3333,19.9766,4.556e-06
49.7956 32.3333,19.9167,0.00039065
49.7956 32.3333,19.8569,0.000405918
49.7956 32.3333,19.797,2.95795e-05
49.7956 32.3333,19.7371,1.92082e-05
49.7956 32.3333,19.6772,1.31764e-05
49.7956 32.3333,19.6173,1.08254e-05
49.7956 32.3333,19.5575,0.000180646
49.7956 32.3333,19.4976,0.000178109
49.7956 32.3333,19.4377,5.80527e-06
49.7956 32.3333,19.3778,1.28313e-05
49.7956 32.3333,19.318,1.71653e-05
49.7956 32.3333,19.2581,5.82544e-05
49.7956 32.3333,19.1982,4.38299e-05
49.7956 32.3333,19.1383,-2.344e-06
49.7956 32.3333,19.0785,7.84291e-06
49.7956 32.3333,19.0186,3.15188e-06
49.7956 32.3333,18.9587,7.03854e-06
49.7956 32.3333,18.8988,4.90339e-06
49.7956 32.3333,18.839,0.000190328
49.7956 32.3333,18.7791,0.000189875
49.7956 32.3333,18.7192,4.94807e-06
49.7956 32.3333,18.6593,0.000473955
49.7956 32.3333,18.5995,0.000480187
49.7956 32.3333,18.5396,2.02104e-05
49.7956 32.3333,18.4797,9.18952e-06
49.7956 32.3333,18.4198,9.87182e-07
49.7956 32.3333,18.3599,-4.4614e-06
49.7956 32.3333,18.3001,-6.99522e-06
49.7956 32.3333,18.2402,0.000134862
49.7956 32.3333,18.1803,0.000147038
49.7956 32.3333,18.1204,1.11854e-05
49.7956 32.3333,18.0606,7.34666e-06
49.7956 32.3333,18.0007,1.19626e-05
49.7956 32.3333,17.9408,0.000321433
