xy,z,val
62.157 61.8284,39.4963,1.75663e-06
62.157 61.8284,39.1969,-2.02321e-06
62.157 61.8284,38.8975,1.28863e-05
62.157 61.8284,38.5981,1.07229e-05
62.157 61.8284,38.2988,1.23205e-07
62.157 61.8284,37.9994,4.49181e-08
62.157 61.8284,37.7,4.52433e-07
62.157 61.8284,37.4006,4.04958e-06
62.157 61.8284,37.1012,-1.39672e-06
62.157 61.8284,36.8019,3.17362e-05
62.157 61.8284,36.5025,3.56324e-06
62.157 61.8284,36.2031,2.10167e-06
62.157 61.8284,35.9037,2.72884e-05
62.157 61.8284,35.6043,1.05602e-05
62.157 61.8284,35.3049,-6.44429e-07
62.157 61.8284,35.0056,-1.89499e-06
62.157 61.8284,34.7062,2.77987e-05
62.157 61.8284,34.4068,2.16096e-05
62.157 61.8284,34.1074,1.8849e-06
62.157 61.8284,33.808,1.61273e-05
62.157 61.8284,33.5087,1.12645e-05
62.157 61.8284,33.2093,7.94886e-06
62.157 61.8284,32.9099,1.67941e-05
62.157 61.8284,32.6105,1.70465e-05
62.157 61.8284,32.3111,1.14969e-05
62.157 61.8284,32.0117,1.60908e-05
62.157 61.8284,31.7124,2.51193e-05
62.157 61.8284,31.413,5.20884e-06
62.157 61.8284,31.1136,1.86563e-05
62.157 61.8284,30.8142,3.87189e-05
62.157 61.8284,30.5148,4.08915e-06
62.157 61.8284,30.2155,2.64243e-05
62.157 61.8284,29.976,4.37911e-06
62.157 61.8284,29.7963,-6.61847e-06
62.157 61.8284,29.6167,2.15392e-06
62.157 61.8284,29.4371,-6.36286e-06
62.157 61.8284,29.2574,-5.57198e-06
62.157 61.8284,29.0778,5.37557e-07
62.157 61.8284,28.8982,-2.7838e-06
62.157 61.8284,28.7185,-9.9783e-07
62.157 61.8284,28.5389,3.03201e-06
62.157 61.8284,28.3593,4.62278e-06
62.157 61.8284,28.1797,3.67363e-06
62.157 61.8284,28.0,5.24793e-05
62.157 61.8284,27.8204,1.48709e-05
62.157 61.8284,27.6408,2.79746e-06
62.157 61.8284,27.4611,-5.44737e-06
62.157 61.8284,27.2815,1.55667e-05
62.157 61.8284,27.1019,8.44084e-06
62.157 61.8284,26.9223,0.000105372
62.157 61.8284,26.7426,2.38829e-05
62.157 61.8284,26.563,1.01474e-05
62.157 61.8284,26.3834,3.01116e-07
62.157 61.8284,26.2037,-4.62901e-06
62.157 61.8284,26.0241,5.03527e-05
62.157 61.8284,25.8445,0.000120685
62.157 61.8284,25.6649,2.36303e-05
62.157 61.8284,25.4852,2.41074e-06
62.157 61.8284,25.3056,0.000194031
62.157 61.8284,25.126,0.000138741
62.157 61.8284,24.9463,9.3312e-05
62.157 61.8284,24.7667,2.17069e-05
62.157 61.8284,24.5871,7.39566e-06
62.157 61.8284,24.4075,4.7991e-07
62.157 61.8284,24.2278,-3.23386e-06
62.157 61.8284,24.0482,9.89019e-07
62.157 61.8284,23.8686,3.41908e-06
62.157 61.8284,23.6889,-1.14498e-06
62.157 61.8284,23.5093,-2.71533e-06
62.157 61.8284,23.3297,-3.82907e-06
62.157 61.8284,23.1501,5.95694e-05
62.157 61.8284,22.9704,8.26441e-05
62.157 61.8284,22.7908,1.51468e-05
62.157 61.8284,22.6112,0.000116464
62.157 61.8284,22.4315,2.00045e-05
62.157 61.8284,22.2519,1.43792e-05
62.157 61.8284,22.0723,0.000113335
62.157 61.8284,21.8926,3.23884e-05
62.157 61.8284,21.713,6.47769e-05
62.157 61.8284,21.5334,2.58767e-05
62.157 61.8284,21.3538,1.90245e-06
62.157 61.8284,21.1741,4.48172e-07
62.157 61.8284,20.9945,-4.27683e-06
62.157 61.8284,20.8149,4.18008e-05
62.157 61.8284,20.6352,0.000143661
62.157 61.8284,20.4556,8.08358e-05
