xy,z,val
42.8656 2.31367,39.4963,2.28856e-06
42.8656 2.31367,39.1969,7.08283e-06
42.8656 2.31367,38.8975,2.76811e-06
42.8656 2.31367,38.5981,5.45745e-07
42.8656 2.31367,38.2988,3.57892e-06
42.8656 2.31367,37.9994,1.72073e-05
42.8656 2.31367,37.7,4.89923e-06
42.8656 2.31367,37.4006,1.40562e-05
42.8656 2.31367,37.1012,2.87126e-05
42.8656 2.31367,36.8019,8.65249e-06
42.8656 2.31367,36.5025,-4.17675e-07
42.8656 2.31367,36.2031,-7.13456e-07
42.8656 2.31367,35.9037,6.25507e-07
42.8656 2.31367,35.6043,1.64686e-05
42.8656 2.31367,35.3049,5.56636e-06
42.8656 2.31367,35.0056,3.46305e-06
42.8656 2.31367,34.7062,3.47596e-05
42.8656 2.31367,34.4068,7.68992e-06
42.8656 2.31367,34.1074,1.12836e-05
42.8656 2.31367,33.808,2.14242e-06
42.8656 2.31367,33.5087,-8.73092e-07
42.8656 2.31367,33.2093,3.22718e-05
42.8656 2.31367,32.9099,8.79604e-06
42.8656 2.31367,32.6105,1.5313e-06
42.8656 2.31367,32.3111,8.27012e-06
42.8656 2.31367,32.0117,2.08461e-06
42.8656 2.31367,31.7124,1.77584e-05
42.8656 2.31367,31.413,3.7733e-05
42.8656 2.31367,31.1136,1.23636e-05
42.8656 2.31367,30.8142,-2.59259e-07
42.8656 2.31367,30.5148,1.32628e-05
42.8656 2.31367,30.2155,1.98692e-05
42.8656 2.31367,29.976,2.99768e-06
42.8656 2.31367,29.7963,-4.10707e-06
42.8656 2.31367,29.6167,1.44719e-05
42.8656 2.31367,29.4371,6.2553e-05
42.8656 2.31367,29.2574,2.99363e-05
42.8656 2.31367,29.0778,-2.09349e-06
42.8656 2.31367,28.8982,-2.71644e-06
42.8656 2.31367,28.7185,1.15158e-06
42.8656 2.31367,28.5389,-3.06422e-06
42.8656 2.31367,28.3593,-2.63545e-06
42.8656 2.31367,28.1797,1.98394e-06
42.8656 2.31367,28.0,1.22396e-06
42.8656 2.31367,27.8204,4.89742e-07
42.8656 2.31367,27.6408,1.238e-06
42.8656 2.31367,27.4611,4.78983e-05
42.8656 2.31367,27.2815,2.57116e-05
42.8656 2.31367,27.1019,-2.771e-06
42.8656 2.31367,26.9223,-4.42679e-06
42.8656 2.31367,26.7426,-4.60689e-07
42.8656 2.31367,26.563,1.71067e-06
42.8656 2.31367,26.3834,-1.95349e-06
42.8656 2.31367,26.2037,2.25296e-07
42.8656 2.31367,26.0241,-1.95445e-07
42.8656 2.31367,25.8445,4.06824e-05
42.8656 2.31367,25.6649,5.46825e-05
42.8656 2.31367,25.4852,2.03041e-05
42.8656 2.31367,25.3056,-2.65799e-06
42.8656 2.31367,25.126,1.42434e-05
42.8656 2.31367,24.9463,9.7805e-06
42.8656 2.31367,24.7667,2.56751e-05
42.8656 2.31367,24.5871,1.17011e-05
42.8656 2.31367,24.4075,7.95692e-05
42.8656 2.31367,24.2278,0.000252739
42.8656 2.31367,24.0482,0.000205288
42.8656 2.31367,23.8686,6.93289e-05
42.8656 2.31367,23.6889,6.78157e-05
42.8656 2.31367,23.5093,0.000116029
42.8656 2.31367,23.3297,0.000252604
42.8656 2.31367,23.1501,0.000101235
42.8656 2.31367,22.9704,3.05762e-05
42.8656 2.31367,22.7908,2.16555e-05
42.8656 2.31367,22.6112,4.93667e-05
42.8656 2.31367,22.4315,2.65192e-05
42.8656 2.31367,22.2519,3.25109e-05
42.8656 2.31367,22.0723,1.67644e-05
42.8656 2.31367,21.8926,6.53548e-05
42.8656 2.31367,21.713,0.000116536
42.8656 2.31367,21.5334,5.62231e-05
42.8656 2.31367,21.3538,0.000196651
42.8656 2.31367,21.1741,0.000151388
42.8656 2.31367,20.9945,2.70918e-05
42.8656 2.31367,20.8149,9.08009e-05
