xy,z,val
-40.9272 -81.657,18.3599,6.88368e-05
-40.9272 -81.657,18.3001,5.49437e-05
-40.9272 -81.657,18.2402,-2.52051e-05
-40.9272 -81.657,18.1803,-2.19534e-05
-40.9272 -81.657,18.1204,6.71393e-05
-40.9272 -81.657,18.0606,7.47697e-05
-40.9272 -81.657,18.0007,0.000174388
-40.9272 -81.657,17.9408,0.00017979
-40.9272 -81.657,17.8809,0.000146285
-40.9272 -81.657,17.8211,0.000285713
-40.9272 -81.657,17.7612,0.000155997
-40.9272 -81.657,17.7013,5.66876e-06
-40.9272 -81.657,17.6414,-6.60455e-07
-40.9272 -81.657,17.5816,-6.96683e-06
-40.9272 -81.657,17.5217,-1.55562e-06
-40.9272 -81.657,17.4618,5.68598e-05
-40.9272 -81.657,17.4019,4.01916e-05
-40.9272 -81.657,17.342,-8.36072e-06
-40.9272 -81.657,17.2822,0.000132293
-40.9272 -81.657,17.2223,0.000135108
-40.9272 -81.657,17.1624,3.60563e-06
-40.9272 -81.657,17.1025,-6.64506e-06
-40.9272 -81.657,17.0427,-7.36558e-06
-40.9272 -81.657,16.9828,3.40369e-06
-40.9272 -81.657,16.9229,-5.50957e-07
-40.9272 -81.657,16.863,-2.62502e-06
-40.9272 -81.657,16.8032,1.59803e-06
-40.9272 -81.657,16.7433,-1.94227e-05
-40.9272 -81.657,16.6834,-2.14882e-05
-40.9272 -81.657,16.6235,0.000319932
-40.9272 -81.657,16.5637,0.000330749
-40.9272 -81.657,16.5038,1.5993e-05
-40.9272 -81.657,16.4439,9.32274e-06
-40.9272 -81.657,16.384,1.63869e-05
-40.9272 -81.657,16.3242,4.31118e-06
-40.9272 -81.657,16.2643,-5.95092e-06
-40.9272 -81.657,16.2044,0.000426449
-40.9272 -81.657,16.1445,0.000442144
-40.9272 -81.657,16.0846,4.25918e-05
-40.9272 -81.657,16.0248,0.000256027
-40.9272 -81.657,15.9649,0.000347525
-40.9272 -81.657,15.905,0.000118451
-40.9272 -81.657,15.8451,3.41012e-06
-40.9272 -81.657,15.7853,-1.10074e-05
-40.9272 -81.657,15.7254,0.000136741
-40.9272 -81.657,15.6655,0.000367682
-40.9272 -81.657,15.6056,0.000404976
-40.9272 -81.657,15.5458,0.000202976
-40.9272 -81.657,15.4859,1.96463e-05
-40.9272 -81.657,15.426,3.20962e-05
-40.9272 -81.657,15.3661,0.000310482
-40.9272 -81.657,15.3063,0.000288872
-40.9272 -81.657,15.2464,-1.33568e-06
-40.9272 -81.657,15.1865,0.000317949
-40.9272 -81.657,15.1266,0.000347193
-40.9272 -81.657,15.0667,1.44268e-05
-40.9272 -81.657,15.0069,0.000540866
-40.9272 -81.657,14.947,0.000578097
-40.9272 -81.657,14.8871,9.80532e-05
-40.9272 -81.657,14.8272,0.000152236
-40.9272 -81.657,14.7674,9.98468e-05
-40.9272 -81.657,14.7075,8.46775e-05
-40.9272 -81.657,14.6476,0.000231237
-40.9272 -81.657,14.5877,0.00017095
-40.9272 -81.657,14.5279,3.20351e-05
-40.9272 -81.657,14.468,0.000115225
-40.9272 -81.657,14.4081,0.000253669
-40.9272 -81.657,14.3482,0.000223511
-40.9272 -81.657,14.2884,6.84393e-05
-40.9272 -81.657,14.2285,9.39265e-05
-40.9272 -81.657,14.1686,0.000441812
-40.9272 -81.657,14.1087,0.000452197
-40.9272 -81.657,14.0489,0.000105542
-40.9272 -81.657,13.989,1.86985e-05
-40.9272 -81.657,13.9291,0.000171485
-40.9272 -81.657,13.8692,0.000520642
-40.9272 -81.657,13.8093,0.000573227
-40.9272 -81.657,13.7495,0.000791673
-40.9272 -81.657,13.6896,0.000722168
-40.9272 -81.657,13.6297,0.000146454
-40.9272 -81.657,13.5698,1.02683e-05
-40.9272 -81.657,13.51,0.000775991
-40.9272 -81.657,13.4501,0.000977388
-40.9272 -81.657,13.3902,0.000226091
-40.9272 -81.657,13.3303,2.16743e-05
-40.9272 -81.657,13.2705,1.20622e-06
-40.9272 -81.657,13.2106,-8.56656e-06
-40.9272 -81.657,13.1507,-2.06667e-07
-40.9272 -81.657,13.0908,1.53003e-05
-40.9272 -81.657,13.031,1.39387e-05
-40.9272 -81.657,12.9711,1.3829e-05
-40.9272 -81.657,12.9112,5.08535e-05
-40.9272 -81.657,12.8513,6.48674e-05
-40.9272 -81.657,12.7914,0.000613212
-40.9272 -81.657,12.7316,0.00073343
-40.9272 -81.657,12.6717,0.000201103
-40.9272 -81.657,12.6118,7.57329e-05
-40.9272 -81.657,12.5519,0.000233785
-40.9272 -81.657,12.4921,0.000226733
-40.9272 -81.657,12.4322,0.000460913
-40.9272 -81.657,12.3723,0.000455614
-40.9272 -81.657,12.3124,9.0815e-06
-40.9272 -81.657,12.2526,0.000125242
-40.9272 -81.657,12.1927,0.000277813
-40.9272 -81.657,12.1328,0.000962129
-40.9272 -81.657,12.0729,0.00160295
-40.9272 -81.657,12.0131,0.00113424
-40.9272 -81.657,11.9532,0.000350161
-40.9272 -81.657,11.8933,0.000258423
-40.9272 -81.657,11.8334,0.000913622
-40.9272 -81.657,11.7736,0.00159855
-40.9272 -81.657,11.7137,0.00121689
-40.9272 -81.657,11.6538,0.000922559
-40.9272 -81.657,11.5939,0.000815295
-40.9272 -81.657,11.534,0.000460305
-40.9272 -81.657,11.4742,0.000638481
-40.9272 -81.657,11.4143,0.000458362
-40.9272 -81.657,11.3544,0.000103654
-40.9272 -81.657,11.2945,0.000336535
-40.9272 -81.657,11.2347,0.000351443
-40.9272 -81.657,11.1748,0.000232674
-40.9272 -81.657,11.1149,0.000222844
-40.9272 -81.657,11.055,0.000325445
-40.9272 -81.657,10.9952,0.00088032
-40.9272 -81.657,10.9353,0.000583137
-40.9272 -81.657,10.8754,2.65151e-05
-40.9272 -81.657,10.8155,2.51343e-05
-40.9272 -81.657,10.7557,2.47226e-05
-40.9272 -81.657,10.6958,4.11491e-05
-40.9272 -81.657,10.6359,0.000263844
-40.9272 -81.657,10.576,0.000286647
-40.9272 -81.657,10.5161,5.82171e-05
-40.9272 -81.657,10.4563,0.000595532
-40.9272 -81.657,10.3964,0.00137955
-40.9272 -81.657,10.3365,0.000971564
-40.9272 -81.657,10.2766,0.00037033
-40.9272 -81.657,10.2168,0.000190543
-40.9272 -81.657,10.1569,0.000218624
-40.9272 -81.657,10.097,0.000766009
-40.9272 -81.657,10.0371,0.000964926
-40.9272 -81.657,9.97726,0.0010304
-40.9272 -81.657,9.91738,0.00104856
-40.9272 -81.657,9.85751,0.000567554
-40.9272 -81.657,9.79763,0.000282481
-40.9272 -81.657,9.73775,0.000679132
-40.9272 -81.657,9.67788,0.000609755
-40.9272 -81.657,9.618,0.000783763
-40.9272 -81.657,9.55813,0.000778667
-40.9272 -81.657,9.49825,0.000384341
-40.9272 -81.657,9.43837,0.000425605
-40.9272 -81.657,9.3785,0.000181076
-40.9272 -81.657,9.31862,0.000204955
-40.9272 -81.657,9.25874,0.000379629
-40.9272 -81.657,9.19887,0.000244116
-40.9272 -81.657,9.13899,1.19128e-05
-40.9272 -81.657,9.07912,1.16996e-05
-40.9272 -81.657,9.01924,-2.38297e-06
-40.9272 -81.657,8.95936,0.000171708
-40.9272 -81.657,8.89949,0.000346385
-40.9272 -81.657,8.83961,0.000187657
-40.9272 -81.657,8.77973,1.64387e-05
-40.9272 -81.657,8.71986,1.01455e-05
-40.9272 -81.657,8.65998,6.6319e-06
-40.9272 -81.657,8.60011,0.000227149
-40.9272 -81.657,8.54023,0.00134042
-40.9272 -81.657,8.48035,0.0014065
-40.9272 -81.657,8.42048,0.000304358
-40.9272 -81.657,8.3606,2.50106e-05
-40.9272 -81.657,8.30072,2.8911e-05
-40.9272 -81.657,8.24085,8.9733e-06
-40.9272 -81.657,8.19594,-9.54845e-06
-40.9272 -81.657,8.166,2.80615e-05
-40.9272 -81.657,8.13606,4.19058e-05
-40.9272 -81.657,8.10613,7.69706e-05
-40.9272 -81.657,8.07619,-5.84119e-05
-40.9272 -81.657,8.04625,1.88768e-05
-40.9272 -81.657,8.01631,-3.31732e-05
